Apto,Estatus,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Jul-26,Aug-26,Sep-26,Oct-26,Nov-26,Dec-26,Jan-27,Feb-27,Mar-27,Apr-27,May-27,Jun-27,TOTAL,a,b,c,"Cant.
Cuotas"," Valor
Cuotas"
1507,4.Plan de pagos," 6,000.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,075.00 "," 3,611.00 ",,,,,,,,,,,,,,,,," 114,161.00 ", -   ," 114,161.00 ",0,36," 3,171.14 "
1508,4.Plan de pagos," 6,000.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 3,100.00 "," 2,760.00 ",,,,,,,,,,,,,,,,," 114,160.00 ", -   ," 114,160.00 ",0,36," 3,171.11 "
1509,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 541,277.04 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 32,400.00 "," 217,277.04 ",,,,,,,,,,,,," 1,082,554.08 "," 974,338.11 "," 1,082,554.08 ",0,12," 90,212.84 "
1510,4.Plan de pagos,,,," 6,000.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,064.00 "," 3,136.00 ",,,,,,,,,,,,,,,,,,,,,," 88,800.00 ", -   ," 88,800.00 ",0,28," 3,171.43 "
1511,4.Plan de pagos,,,,,," 6,000.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 "," 5,292.00 ",,,,,,,,,,,,,,,,,,,,,," 138,300.00 ", -   ," 138,300.00 ",0,26," 5,319.23 "
1512,1.Disponible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-94,935.62 ", -   ,0,0, -   
1601,4.Plan de pagos,,,,,," 6,000.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,780.00 "," 4,863.90 ",,,,,,,,,,,,,,,,,,,,,," 125,583.90 ", -   ," 125,583.90 ",0,26," 4,830.15 "
1602,4.Plan de pagos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,"-129,720.00 ", -   ,0,0, -   
1603,4.Plan de pagos,," 6,000.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.00 "," 5,001.61 ",,,,,,,,,,,,,,,,,,,,," 156,030.61 ", -   ," 156,030.61 ",0,31," 5,033.25 "
1604,4.Plan de pagos,,," 6,000.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,982.00 "," 2,986.00 ",,,,,,,,,,,,,,,,,,,,,," 89,500.00 ", -   ," 89,500.00 ",0,29," 3,086.21 "
